date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
10/27/2018,/everyone-high-school-students/thank-you,Instagram,Page Link,FA19_IG_IG_DISP_TL_UG_S_1,FY2019_Undergrad,Rhode Island,Providence,1,0,15,0,0,1,0,0
10/28/2018,/begin/thank-you,(direct),(none),(not set),(not set),Massachusetts,Lynn,1,1,0,1,1,1,1,0
10/28/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_tl_ug_d_1,FY2019_Undergrad,Connecticut,Bridgeport,1,0,0,0,0,1,1,0
10/29/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Lagos,Lagos,1,0,0,0,0,1,1,0
10/30/2018,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,Massachusetts,Boston,1,0,0,0,0,1,1,0
10/30/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Waterville,1,0,0,0,0,1,1,0
10/31/2018,/everyone-high-school-students/thank-you,(direct),(none),(not set),(not set),Maine,Lewiston,1,0,79,0,0,3,0,0
11/02/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Utah,Layton,1,0,12,0,0,1,0,0
11/02/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Connecticut,Cheshire,1,0,0,0,0,1,1,0
11/02/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Lewiston,1,0,0,0,0,1,1,0
11/03/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,New York,1,0,15,0,0,1,0,0
11/03/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Massachusetts,Gloucester,1,0,42,0,0,2,0,0
11/06/2018,/everyone-degree-completion/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_WA_DC_S_1,FY2019_DegreeComp,Maine,Falmouth,1,0,14,0,0,1,0,0
11/07/2018,/everyone-graduate-degree-seekers/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_gr_s_1,FY2019_Graduate,Maine,Poland,1,0,0,0,0,1,1,0
11/10/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_HS_UG_S_2,FY2019_Undergrad,Maine,Brooks,1,0,0,0,0,1,1,0
11/11/2018,/everyone-transfer-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_CU_TR_S_1,FY2019_Transfer,Maine,Machias,1,0,0,0,0,1,1,0
11/11/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),Addis Ababa,1,0,0,0,0,1,1,0
11/13/2018,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,New Hampshire,Dover,1,0,0,0,0,1,1,0
11/14/2018,/everyone-high-school-students/thank-you,Pinterest,TrafficPin,fa19_br_pin_disp_in_ug_s_1,FY2019_Influencers,Maine,South Portland,1,0,0,0,0,1,1,0
11/14/2018,/everyone-online-degree-seekers/thank-you,google,cpc,Bachelor's Degree Program,FY2019_Online,(not set),Addis Ababa,1,0,23,0,0,1,0,0
11/17/2018,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,New Hampshire,Dover,1,0,16,0,0,1,0,0
11/17/2018,/everyone-transfer-students/thank-you,google,cpc,fa19_ig_gm_text_cu_tr_s_1.jpg,FY2019_TransferG,Maine,Cumberland,1,0,0,0,0,1,1,0
11/18/2018,/everyone-high-school-students/thank-you,google,cpc,Bachelor Degree Programs,FY2019_Undergrad,Maine,Topsham,1,0,48,0,0,2,0,0
11/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Westbrook,1,0,15,0,0,1,0,0
11/20/2018,/everyone-transfer-students/thank-you,google,cpc,Earn Your Maine College Degree,FY2019_Transfer,Massachusetts,Auburn,1,0,17,0,0,1,0,0
